mV_1,uA_1,filter_uA_1,mV_2,uA_2,filter_uA_2,mV_3,uA_3,filter_uA_3,mV_4,uA_4,filter_uA_4,mV_5,uA_5,filter_uA_5
-200.0,1.19288,1.1928799998291548,-200.0,-20.96424,-20.96424000012891,-200.0,-24.58995,-24.589950000110644,-200.0,-26.25893,-26.258930000102044,-200.0,-27.38117,-27.381170000091913
-190.0,1.19288,1.537322387279275,-190.0,-20.21608,-19.747173836631973,-190.0,-23.78424,-23.2826218458655,-190.0,-25.48199,-24.920595216615045,-190.0,-26.5179,-26.009545905936
-180.0,1.19288,1.8718583391562396,-180.0,-19.49669,-18.550736808627548,-180.0,-23.03607,-21.99702640536434,-180.0,-24.70505,-23.604265074552846,-180.0,-25.74097,-24.660452890176042
-170.0,1.19288,2.1867653984577835,-170.0,-18.89241,-17.39483891399298,-170.0,-22.34547,-20.75412404415884,-170.0,-23.98567,-22.331166069001178,-170.0,-25.02158,-23.355605335611994
-160.0,5.94083,2.4727574458195902,-160.0,-8.76344,-16.297865464383253,-160.0,-11.46833,-19.573236893417075,-160.0,-12.76323,-21.120867436302042,-160.0,-13.56895,-22.114987925485163
-150.0,2.08492,2.721290460280559,-150.0,-15.58323,-15.275859146875892,-150.0,-18.71975,-18.471169579274026,-150.0,-20.24485,-19.9903825253251,-150.0,-21.19444,-20.955931749359763
-140.0,1.94103,2.924806943847517,-140.0,-15.46812,-14.341958533630597,-140.0,-18.63343,-17.461608333925007,-140.0,-20.15853,-18.953553324615406,-140.0,-21.07934,-19.892487111368286
-130.0,1.85471,3.0768447300900483,-130.0,-15.20915,-13.506279681764806,-130.0,-18.34567,-16.555003566709335,-130.0,-19.84199,-18.020932104367375,-130.0,-20.79159,-18.935310051417982
-120.0,1.82593,3.172108333688384,-120.0,-14.86384,-12.776073075231626,-120.0,-17.97159,-15.758759240027887,-120.0,-19.46792,-17.199980015761007,-120.0,-20.38873,-18.09187853908169
-110.0,1.79717,3.206691608267003,-110.0,-14.51853,-12.15578359480627,-110.0,-17.59751,-15.077329634799236,-110.0,-19.06506,-16.495172533482556,-110.0,-20.01465,-17.36661933493948
-100.0,1.79717,3.178583227443314,-100.0,-14.17323,-11.646731338522214,-100.0,-17.22343,-14.511918581113871,-100.0,-18.71975,-15.90769877409994,-100.0,-19.61179,-16.76062429697416
-90.0,6.94798,3.088486635508538,-90.0,-4.24569,-11.246312963339507,-90.0,-6.5765,-14.059670666213687,-90.0,-7.72752,-15.434641053914048,-90.0,-8.44691,-16.27083769195505
-80.0,2.5741,2.940862054288406,-80.0,-11.52589,-10.946851889046222,-80.0,-14.28833,-13.712489055544498,-80.0,-15.66955,-15.067772009405777,-80.0,-16.50404,-15.888852578177293
-70.0,2.37267,2.7449796710184553,-70.0,-11.72732,-10.734449890672238,-70.0,-14.5473,-13.455855754587702,-70.0,-15.89976,-14.792354443895197,-70.0,-16.73424,-15.599707806422062
-60.0,5.62429,2.5158019530052593,-60.0,-5.91467,-10.588147124443221,-60.0,-8.33181,-13.2679827628119,-60.0,-9.5116,-14.586281298195496,-60.0,-10.25976,-15.381028942667534
-50.0,2.83308,2.2746445028662023,-50.0,-10.17344,-10.479445376052565,-50.0,-12.84956,-13.119351228203868,-50.0,-14.17323,-14.419614823262194,-50.0,-14.95016,-15.202572659630016
-40.0,2.63165,2.0495955210291985,-40.0,-10.37487,-10.372168147800569,-40.0,-13.05098,-12.972605464364943,-40.0,-14.34588,-14.254490610676203,-40.0,-15.18037,-15.026138385073727
-30.0,6.83287,1.8756301322951452,-30.0,-3.5263,-10.222700277550516,-30.0,-5.77079,-12.78284111370587,-30.0,-6.89303,-14.045425159599144,-30.0,-7.55487,-14.805885003479526
-20.0,3.43737,1.7943372969586138,-20.0,-8.33181,-9.98068065852965,-20.0,-10.83527,-12.498360235206002,-20.0,-12.04384,-13.740099179724263,-20.0,-12.82078,-14.489124368300427
-10.0,3.14961,1.8531434761611743,-10.0,-8.67712,-9.590275543196169,-10.0,-11.18058,-12.06202408569752,-10.0,-12.47547,-13.280748471852451,-10.0,-13.19486,-14.017724080173945
0.0,2.97695,2.103936220611952,0.0,-8.76344,-8.992146247307174,0.0,-11.32446,-11.413321057698122,0.0,-12.53303,-12.60628067405463,0.0,-13.30996,-13.330239164345056
10.0,2.89062,2.6011339689452204,10.0,-8.76344,-8.126019017190206,10.0,-11.29568,-10.491049165322172,10.0,-12.5618,-11.65501195681434,10.0,-13.30996,-12.364665556353021
