mV_1,uA_1,filter_uA_1,mV_2,uA_2,filter_uA_2,mV_3,uA_3,filter_uA_3,mV_4,uA_4,filter_uA_4,mV_5,uA_5,filter_uA_5
-200.0,2.77553,2.7755299998022886,-200.0,-15.81343,-15.813430000189323,-200.0,-18.63343,-18.633430000216013,-200.0,-19.87077,-19.870770000213778,-200.0,-20.70526,-20.705260000185305
-190.0,2.8043,3.076627382294102,-190.0,-15.15159,-14.754046996930413,-190.0,-17.97159,-17.512967774475875,-190.0,-19.18016,-18.71918319298234,-190.0,-20.01465,-19.536905162975604
-180.0,2.77553,3.367803717276526,-180.0,-14.57609,-13.714160212881751,-180.0,-17.3673,-16.412711886149285,-180.0,-18.57587,-17.58802294108519,-180.0,-19.38159,-18.389122984593914
-170.0,2.77553,3.6393418356028158,-170.0,-14.05813,-12.712593744878609,-170.0,-16.7918,-15.352167355229263,-170.0,-17.97159,-16.497005621267146,-170.0,-18.7773,-17.281767247154708
-160.0,6.51634,3.8819918842661405,-160.0,-5.68446,-11.766747681666645,-160.0,-7.81385,-14.349347602341274,-160.0,-8.73466,-15.464336198832079,-160.0,-9.36772,-16.233161748946326
-150.0,3.55247,4.087289003131082,-150.0,-11.0367,-10.89181923521004,-150.0,-13.51139,-13.419951708617917,-150.0,-14.57609,-14.5058743897767,-150.0,-15.32424,-15.259257317639685
-140.0,3.43737,4.247839697419802,-140.0,-10.9216,-10.100216207351375,-140.0,-13.45384,-12.576747931705397,-140.0,-14.48976,-13.634514597960115,-140.0,-15.23792,-14.373008570925933
-130.0,3.40859,4.357518503633393,-130.0,-10.6914,-9.401326123933442,-130.0,-13.16609,-11.829343197251665,-130.0,-14.23078,-12.859966349797238,-130.0,-14.97894,-13.584160739392985
-120.0,3.3798,4.411647741401793,-120.0,-10.40364,-8.801520056249577,-120.0,-12.9071,-11.184211557392432,-120.0,-13.91425,-12.18880676351347,-120.0,-14.66241,-12.89931537049144
-110.0,3.35104,4.407302338236228,-110.0,-10.14466,-8.304098492025677,-110.0,-12.5618,-10.644667996683374,-110.0,-13.62649,-11.62448354500744,-110.0,-14.37466,-12.321946732747417
-100.0,3.35104,4.343836253490321,-100.0,-9.82813,-7.908953070866792,-100.0,-12.27404,-10.210544239964333,-100.0,-13.30996,-11.167017306462672,-100.0,-14.05813,-11.852111895965123
-90.0,7.3796,4.223648365841618,-90.0,-1.94366,-7.611862815834908,-90.0,-3.84283,-9.877478552916381,-90.0,-4.7061,-10.812309390468284,-90.0,-5.28161,-11.485757348665487
-80.0,3.98409,4.053107420792621,-80.0,-7.66997,-7.403528397601098,-80.0,-9.94323,-9.635928594208096,-80.0,-10.89283,-10.551161709838432,-80.0,-11.55466,-11.213729135506474
-70.0,3.81144,3.843460502916225,-70.0,-7.81385,-7.268630723332835,-70.0,-10.08712,-9.470210111016586,-70.0,-11.06547,-10.368313795454313,-70.0,-11.72732,-11.020796919046061
-60.0,6.43001,3.6115689677036436,-60.0,-3.15223,-7.185168752351327,-60.0,-5.13773,-9.357830014687766,-60.0,-6.001,-10.241769149085211,-60.0,-6.60528,-10.884970047530972
-50.0,4.15674,3.3804161313778462,-50.0,-6.54773,-7.124134413162524,-50.0,-8.76344,-9.269171653749543,-50.0,-9.68426,-10.142468498570295,-50.0,-10.34609,-10.7771650797108
-40.0,4.01287,3.1793546777604313,-40.0,-6.72038,-7.049518672563031,-40.0,-8.87854,-9.167520794532921,-40.0,-9.79935,-10.034296445619534,-40.0,-10.46119,-10.661209687217989
-30.0,7.55225,3.0440297667060343,-30.0,-1.08039,-6.918695657377907,-30.0,-2.9508,-9.009476598867574,-30.0,-3.84283,-9.874465025851292,-30.0,-4.38957,-10.494224268847903
-20.0,4.73225,3.0159005102595238,-20.0,-5.0514,-6.683254228890227,-20.0,-7.09446,-8.745816811266211,-20.0,-8.01527,-9.614342611956179,-20.0,-8.61956,-10.227448536905865
-10.0,4.47328,3.141255610945381,-10.0,-5.31038,-6.290387340730468,-10.0,-7.41099,-8.32293106418089,-10.0,-8.33181,-9.20084072444137,-10.0,-8.93609,-9.807627105803853
0.0,4.32941,3.4696406757999556,0.0,-5.39671,-5.684931097500757,0.0,-7.43977,-7.684917741469845,0.0,-8.36058,-8.578453487673611,0.0,-8.99364,-9.179051495615727
10.0,4.24307,4.051744692400988,10.0,-5.36793,-4.811967325654639,10.0,-7.46855,-6.776252354326896,10.0,-8.36058,-7.691858002737244,10.0,-8.99364,-8.286166462653057
20.0,4.18552,4.93690620681771,20.0,-5.31038,-3.6197461720888033,20.0,-7.38221,-5.544770263986071,20.0,-8.30303,-6.48882051830462,20.0,-8.93609,-7.076481399325497
30.0,4.12798,6.170423172777674,30.0,-5.25283,-2.062667317658185,30.0,-7.29589,-3.9446891918705167,30.0,-8.18793,-4.923138525631389,30.0,-8.82099,-5.503511999754055
40.0,9.8543,7.790842601224389,40.0,2.60287,-0.10409422364102021,40.0,0.87634,-1.939437036711623,40.0,-0.01569,-2.957391190686209,40.0,-0.53366,-3.529521397243688
50.0,5.94083,9.827363247111853,50.0,-2.37529,2.281139358033488,50.0,-4.27446,0.4958572461598092,50.0,-5.13773,-0.5653644787997059,50.0,-5.71324,-1.1279272153632225
60.0,5.42286,12.297438903723075,60.0,-2.86447,5.104578588671428,60.0,-4.8212,3.372251077100094,60.0,-5.74201,2.265879867761673,60.0,-6.31752,1.714652768443834
70.0,15.69571,15.20475865121983,70.0,9.4802,8.362488393666196,70.0,8.04143,6.685383886370517,70.0,7.09185,5.534409973338303,70.0,6.68899,4.9968304885233366
80.0,9.59531,18.537913631062292,80.0,2.54532,12.034989668676728,80.0,0.79002,10.41468366987224,80.0,-0.18835,9.222597328343403,80.0,-0.67753,8.701642598255956
90.0,8.61694,22.270061275149867,90.0,1.2792,16.08629764453164,90.0,-0.41855,14.523688200932583,90.0,-1.36814,13.297355752406062,90.0,-1.8861,12.7968036796742
100.0,53.67933,26.35982232610915,100.0,50.42771,20.466275741725692,100.0,49.50689,18.961687527292028,100.0,48.29832,17.71164866939309,100.0,48.18322,17.23621541187532
110.0,37.70895,30.753196245720396,110.0,33.0761,25.113045726000735,110.0,32.04019,23.666417480810228,110.0,30.68774,22.406994906023026,110.0,30.39999,21.962455747149544
120.0,33.21997,35.38532122486535,120.0,28.41447,29.955370611180875,120.0,27.00448,28.566494727445665,120.0,25.7959,27.315674405899962,120.0,25.47937,26.908938133499237
